species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year,body_mass_kg,bill_area_index,flipper_mass_ratio,body_size_category,sex_encoded,island_Biscoe,island_Dream,island_Torgersen
Gentoo,Biscoe,48.7,15.1,222.0,5350.0,male,2007,5.35,735.37,41.5,Büyük,1,1,0,0
Gentoo,Biscoe,50.2,14.3,218.0,5700.0,male,2007,5.7,717.86,38.25,Büyük,1,1,0,0
Gentoo,Biscoe,45.1,14.5,215.0,5000.0,female,2007,5.0,653.95,43.0,Büyük,0,1,0,0
Gentoo,Biscoe,46.5,14.5,213.0,4400.0,female,2007,4.4,674.25,48.41,Orta,0,1,0,0
Gentoo,Biscoe,46.3,15.8,215.0,5050.0,male,2007,5.05,731.54,42.57,Büyük,1,1,0,0
Gentoo,Biscoe,42.9,13.1,215.0,5000.0,female,2007,5.0,561.99,43.0,Büyük,0,1,0,0
Gentoo,Biscoe,46.1,15.1,215.0,5100.0,male,2007,5.1,696.11,42.16,Büyük,1,1,0,0
Gentoo,Biscoe,44.5,14.3,216.0,4100.0,male,2007,4.1,636.35,52.68,Orta,1,1,0,0
Gentoo,Biscoe,47.8,15.0,215.0,5650.0,male,2007,5.65,717.0,38.05,Büyük,1,1,0,0
Gentoo,Biscoe,48.2,14.3,210.0,4600.0,female,2007,4.6,689.26,45.65,Büyük,0,1,0,0
Gentoo,Biscoe,50.0,15.3,220.0,5550.0,male,2007,5.55,765.0,39.64,Büyük,1,1,0,0
Gentoo,Biscoe,47.3,15.3,222.0,5250.0,male,2007,5.25,723.69,42.29,Büyük,1,1,0,0
Gentoo,Biscoe,42.8,14.2,209.0,4700.0,female,2007,4.7,607.76,44.47,Büyük,0,1,0,0
Gentoo,Biscoe,45.1,14.5,207.0,5050.0,female,2007,5.05,653.95,40.99,Büyük,0,1,0,0
Gentoo,Biscoe,59.6,17.0,230.0,6050.0,male,2007,6.05,1013.2,38.02,Büyük,1,1,0,0
Gentoo,Biscoe,49.1,14.8,220.0,5150.0,female,2008,5.15,726.68,42.72,Büyük,0,1,0,0
Gentoo,Biscoe,48.4,16.3,220.0,5400.0,male,2008,5.4,788.92,40.74,Büyük,1,1,0,0
Gentoo,Biscoe,42.6,13.7,213.0,4950.0,female,2008,4.95,583.62,43.03,Büyük,0,1,0,0
Gentoo,Biscoe,44.4,17.3,219.0,5250.0,male,2008,5.25,768.12,41.71,Büyük,1,1,0,0
Gentoo,Biscoe,44.0,13.6,208.0,4350.0,female,2008,4.35,598.4,47.82,Orta,0,1,0,0
Gentoo,Biscoe,48.7,15.7,208.0,5350.0,male,2008,5.35,764.59,38.88,Büyük,1,1,0,0
Gentoo,Biscoe,42.7,13.7,208.0,3950.0,female,2008,3.95,584.99,52.66,Orta,0,1,0,0
Gentoo,Biscoe,49.6,16.0,225.0,5700.0,male,2008,5.7,793.6,39.47,Büyük,1,1,0,0
Gentoo,Biscoe,45.3,13.7,210.0,4300.0,female,2008,4.3,620.61,48.84,Orta,0,1,0,0
Gentoo,Biscoe,49.6,15.0,216.0,4750.0,male,2008,4.75,744.0,45.47,Büyük,1,1,0,0
Gentoo,Biscoe,50.5,15.9,222.0,5550.0,male,2008,5.55,802.95,40.0,Büyük,1,1,0,0
Gentoo,Biscoe,43.6,13.9,217.0,4900.0,female,2008,4.9,606.04,44.29,Büyük,0,1,0,0
Gentoo,Biscoe,45.5,13.9,210.0,4200.0,female,2008,4.2,632.45,50.0,Orta,0,1,0,0
Gentoo,Biscoe,50.5,15.9,225.0,5400.0,male,2008,5.4,802.95,41.67,Büyük,1,1,0,0
Gentoo,Biscoe,44.9,13.3,213.0,5100.0,female,2008,5.1,597.17,41.76,Büyük,0,1,0,0
Gentoo,Biscoe,45.2,15.8,215.0,5300.0,male,2008,5.3,714.16,40.57,Büyük,1,1,0,0
Gentoo,Biscoe,46.6,14.2,210.0,4850.0,female,2008,4.85,661.72,43.3,Büyük,0,1,0,0
Gentoo,Biscoe,48.5,14.1,220.0,5300.0,male,2008,5.3,683.85,41.51,Büyük,1,1,0,0
Gentoo,Biscoe,45.1,14.4,210.0,4400.0,female,2008,4.4,649.44,47.73,Orta,0,1,0,0
Gentoo,Biscoe,50.1,15.0,225.0,5000.0,male,2008,5.0,751.5,45.0,Büyük,1,1,0,0
Gentoo,Biscoe,46.5,14.4,217.0,4900.0,female,2008,4.9,669.6,44.29,Büyük,0,1,0,0
Gentoo,Biscoe,45.0,15.4,220.0,5050.0,male,2008,5.05,693.0,43.56,Büyük,1,1,0,0
Gentoo,Biscoe,43.8,13.9,208.0,4300.0,female,2008,4.3,608.82,48.37,Orta,0,1,0,0
Gentoo,Biscoe,45.5,15.0,220.0,5000.0,male,2008,5.0,682.5,44.0,Büyük,1,1,0,0
Gentoo,Biscoe,43.2,14.5,208.0,4450.0,female,2008,4.45,626.4,46.74,Orta,0,1,0,0
Gentoo,Biscoe,50.4,15.3,224.0,5550.0,male,2008,5.55,771.12,40.36,Büyük,1,1,0,0
Gentoo,Biscoe,45.3,13.8,208.0,4200.0,female,2008,4.2,625.14,49.52,Orta,0,1,0,0
Gentoo,Biscoe,46.2,14.9,221.0,5300.0,male,2008,5.3,688.38,41.7,Büyük,1,1,0,0
Gentoo,Biscoe,45.7,13.9,214.0,4400.0,female,2008,4.4,635.23,48.64,Orta,0,1,0,0
Gentoo,Biscoe,54.3,15.7,231.0,5650.0,male,2008,5.65,852.51,40.88,Büyük,1,1,0,0
Gentoo,Biscoe,45.8,14.2,219.0,4700.0,female,2008,4.7,650.36,46.6,Büyük,0,1,0,0
Gentoo,Biscoe,49.8,16.8,230.0,5700.0,male,2008,5.7,836.64,40.35,Büyük,1,1,0,0
Gentoo,Biscoe,46.2,14.4,214.0,4650.0,male,2008,4.65,665.28,46.02,Büyük,1,1,0,0
Gentoo,Biscoe,49.5,16.2,229.0,5800.0,male,2008,5.8,801.9,39.48,Büyük,1,1,0,0
Gentoo,Biscoe,43.5,14.2,220.0,4700.0,female,2008,4.7,617.7,46.81,Büyük,0,1,0,0
Gentoo,Biscoe,50.7,15.0,223.0,5550.0,male,2008,5.55,760.5,40.18,Büyük,1,1,0,0
Gentoo,Biscoe,47.7,15.0,216.0,4750.0,female,2008,4.75,715.5,45.47,Büyük,0,1,0,0
Gentoo,Biscoe,46.4,15.6,221.0,5000.0,male,2008,5.0,723.84,44.2,Büyük,1,1,0,0
Gentoo,Biscoe,48.2,15.6,221.0,5100.0,male,2008,5.1,751.92,43.33,Büyük,1,1,0,0
Gentoo,Biscoe,46.5,14.8,217.0,5200.0,female,2008,5.2,688.2,41.73,Büyük,0,1,0,0
Gentoo,Biscoe,46.4,15.0,216.0,4700.0,female,2008,4.7,696.0,45.96,Büyük,0,1,0,0
Gentoo,Biscoe,48.6,16.0,230.0,5800.0,male,2008,5.8,777.6,39.66,Büyük,1,1,0,0
Gentoo,Biscoe,47.5,14.2,209.0,4600.0,female,2008,4.6,674.5,45.43,Büyük,0,1,0,0
Gentoo,Biscoe,51.1,16.3,220.0,6000.0,male,2008,6.0,832.93,36.67,Büyük,1,1,0,0
Gentoo,Biscoe,45.2,13.8,215.0,4750.0,female,2008,4.75,623.76,45.26,Büyük,0,1,0,0
Gentoo,Biscoe,45.2,16.4,223.0,5950.0,male,2008,5.95,741.28,37.48,Büyük,1,1,0,0
Gentoo,Biscoe,49.1,14.5,212.0,4625.0,female,2009,4.625,711.95,45.84,Büyük,0,1,0,0
Gentoo,Biscoe,52.5,15.6,221.0,5450.0,male,2009,5.45,819.0,40.55,Büyük,1,1,0,0
Gentoo,Biscoe,47.4,14.6,212.0,4725.0,female,2009,4.725,692.04,44.87,Büyük,0,1,0,0
Gentoo,Biscoe,50.0,15.9,224.0,5350.0,male,2009,5.35,795.0,41.87,Büyük,1,1,0,0
Gentoo,Biscoe,44.9,13.8,212.0,4750.0,female,2009,4.75,619.62,44.63,Büyük,0,1,0,0
Gentoo,Biscoe,50.8,17.3,228.0,5600.0,male,2009,5.6,878.84,40.71,Büyük,1,1,0,0
Gentoo,Biscoe,43.4,14.4,218.0,4600.0,female,2009,4.6,624.96,47.39,Büyük,0,1,0,0
Gentoo,Biscoe,51.3,14.2,218.0,5300.0,male,2009,5.3,728.46,41.13,Büyük,1,1,0,0
Gentoo,Biscoe,47.5,14.0,212.0,4875.0,female,2009,4.875,665.0,43.49,Büyük,0,1,0,0
Gentoo,Biscoe,52.1,17.0,230.0,5550.0,male,2009,5.55,885.7,41.44,Büyük,1,1,0,0
Gentoo,Biscoe,47.5,15.0,218.0,4950.0,female,2009,4.95,712.5,44.04,Büyük,0,1,0,0
Gentoo,Biscoe,52.2,17.1,228.0,5400.0,male,2009,5.4,892.62,42.22,Büyük,1,1,0,0
Gentoo,Biscoe,45.5,14.5,212.0,4750.0,female,2009,4.75,659.75,44.63,Büyük,0,1,0,0
Gentoo,Biscoe,49.5,16.1,224.0,5650.0,male,2009,5.65,796.95,39.65,Büyük,1,1,0,0
Gentoo,Biscoe,44.5,14.7,214.0,4850.0,female,2009,4.85,654.15,44.12,Büyük,0,1,0,0
Gentoo,Biscoe,50.8,15.7,226.0,5200.0,male,2009,5.2,797.56,43.46,Büyük,1,1,0,0
Gentoo,Biscoe,49.4,15.8,216.0,4925.0,male,2009,4.925,780.52,43.86,Büyük,1,1,0,0
Gentoo,Biscoe,46.9,14.6,222.0,4875.0,female,2009,4.875,684.74,45.54,Büyük,0,1,0,0
Gentoo,Biscoe,48.4,14.4,203.0,4625.0,female,2009,4.625,696.96,43.89,Büyük,0,1,0,0
Gentoo,Biscoe,51.1,16.5,225.0,5250.0,male,2009,5.25,843.15,42.86,Büyük,1,1,0,0
Gentoo,Biscoe,48.5,15.0,219.0,4850.0,female,2009,4.85,727.5,45.15,Büyük,0,1,0,0
Gentoo,Biscoe,55.9,17.0,228.0,5600.0,male,2009,5.6,950.3,40.71,Büyük,1,1,0,0
Gentoo,Biscoe,47.2,15.5,215.0,4975.0,female,2009,4.975,731.6,43.22,Büyük,0,1,0,0
Gentoo,Biscoe,49.1,15.0,228.0,5500.0,male,2009,5.5,736.5,41.45,Büyük,1,1,0,0
Gentoo,Biscoe,47.3,13.8,216.0,4725.0,male,2009,4.725,652.74,45.71,Büyük,1,1,0,0
Gentoo,Biscoe,46.8,16.1,215.0,5500.0,male,2009,5.5,753.48,39.09,Büyük,1,1,0,0
Gentoo,Biscoe,41.7,14.7,210.0,4700.0,female,2009,4.7,612.99,44.68,Büyük,0,1,0,0
Gentoo,Biscoe,53.4,15.8,219.0,5500.0,male,2009,5.5,843.72,39.82,Büyük,1,1,0,0
Gentoo,Biscoe,43.3,14.0,208.0,4575.0,female,2009,4.575,606.2,45.46,Büyük,0,1,0,0
Gentoo,Biscoe,48.1,15.1,209.0,5500.0,male,2009,5.5,726.31,38.0,Büyük,1,1,0,0
Gentoo,Biscoe,50.5,15.2,216.0,5000.0,female,2009,5.0,767.6,43.2,Büyük,0,1,0,0
Gentoo,Biscoe,49.8,15.9,229.0,5950.0,male,2009,5.95,791.82,38.49,Büyük,1,1,0,0
Gentoo,Biscoe,43.5,15.2,213.0,4650.0,female,2009,4.65,661.2,45.81,Büyük,0,1,0,0
Gentoo,Biscoe,51.5,16.3,230.0,5500.0,male,2009,5.5,839.45,41.82,Büyük,1,1,0,0
Gentoo,Biscoe,46.2,14.1,217.0,4375.0,female,2009,4.375,651.42,49.6,Orta,0,1,0,0
Gentoo,Biscoe,55.1,16.0,230.0,5850.0,male,2009,5.85,881.6,39.32,Büyük,1,1,0,0
Gentoo,Biscoe,44.5,15.7,217.0,4875.0,male,2009,4.875,698.65,44.51,Büyük,1,1,0,0
Gentoo,Biscoe,48.8,16.2,222.0,6000.0,male,2009,6.0,790.56,37.0,Büyük,1,1,0,0
Gentoo,Biscoe,47.2,13.7,214.0,4925.0,female,2009,4.925,646.64,43.45,Büyük,0,1,0,0
Gentoo,Biscoe,47.3,15.0,216.0,5000.0,male,2009,5.0,709.5,43.2,Büyük,1,1,0,0
Gentoo,Biscoe,46.8,14.3,215.0,4850.0,female,2009,4.85,669.24,44.33,Büyük,0,1,0,0
Gentoo,Biscoe,50.4,15.7,222.0,5750.0,male,2009,5.75,791.28,38.61,Büyük,1,1,0,0
Gentoo,Biscoe,45.2,14.8,212.0,5200.0,female,2009,5.2,668.96,40.77,Büyük,0,1,0,0
Gentoo,Biscoe,49.9,16.1,213.0,5400.0,male,2009,5.4,803.39,39.44,Büyük,1,1,0,0
Chinstrap,Dream,46.5,17.9,192.0,3500.0,female,2007,3.5,832.35,54.86,Küçük,0,0,1,0
Chinstrap,Dream,50.0,19.5,196.0,3900.0,male,2007,3.9,975.0,50.26,Orta,1,0,1,0
Chinstrap,Dream,51.3,19.2,193.0,3650.0,male,2007,3.65,984.96,52.88,Küçük,1,0,1,0
Chinstrap,Dream,45.4,18.7,188.0,3525.0,female,2007,3.525,848.98,53.33,Küçük,0,0,1,0
Chinstrap,Dream,52.7,19.8,197.0,3725.0,male,2007,3.725,1043.46,52.89,Orta,1,0,1,0
Chinstrap,Dream,45.2,17.8,198.0,3950.0,female,2007,3.95,804.56,50.13,Orta,0,0,1,0
Chinstrap,Dream,46.1,18.2,178.0,3250.0,female,2007,3.25,839.02,54.77,Küçük,0,0,1,0
Chinstrap,Dream,51.3,18.2,197.0,3750.0,male,2007,3.75,933.66,52.53,Orta,1,0,1,0
Chinstrap,Dream,46.0,18.9,195.0,4150.0,female,2007,4.15,869.4,46.99,Orta,0,0,1,0
Chinstrap,Dream,51.3,19.9,198.0,3700.0,male,2007,3.7,1020.87,53.51,Küçük,1,0,1,0
Chinstrap,Dream,46.6,17.8,193.0,3800.0,female,2007,3.8,829.48,50.79,Orta,0,0,1,0
Chinstrap,Dream,51.7,20.3,194.0,3775.0,male,2007,3.775,1049.51,51.39,Orta,1,0,1,0
Chinstrap,Dream,47.0,17.3,185.0,3700.0,female,2007,3.7,813.1,50.0,Küçük,0,0,1,0
Chinstrap,Dream,52.0,18.1,201.0,4050.0,male,2007,4.05,941.2,49.63,Orta,1,0,1,0
Chinstrap,Dream,45.9,17.1,190.0,3575.0,female,2007,3.575,784.89,53.15,Küçük,0,0,1,0
Chinstrap,Dream,50.5,19.6,201.0,4050.0,male,2007,4.05,989.8,49.63,Orta,1,0,1,0
Chinstrap,Dream,50.3,20.0,197.0,3300.0,male,2007,3.3,1006.0,59.7,Küçük,1,0,1,0
Chinstrap,Dream,58.0,17.8,181.0,3700.0,female,2007,3.7,1032.4,48.92,Küçük,0,0,1,0
Chinstrap,Dream,46.4,18.6,190.0,3450.0,female,2007,3.45,863.04,55.07,Küçük,0,0,1,0
Chinstrap,Dream,49.2,18.2,195.0,4400.0,male,2007,4.4,895.44,44.32,Orta,1,0,1,0
Chinstrap,Dream,42.4,17.3,181.0,3600.0,female,2007,3.6,733.52,50.28,Küçük,0,0,1,0
Chinstrap,Dream,48.5,17.5,191.0,3400.0,male,2007,3.4,848.75,56.18,Küçük,1,0,1,0
Chinstrap,Dream,43.2,16.6,187.0,2900.0,female,2007,2.9,717.12,64.48,Küçük,0,0,1,0
Chinstrap,Dream,50.6,19.4,193.0,3800.0,male,2007,3.8,981.64,50.79,Orta,1,0,1,0
Chinstrap,Dream,46.7,17.9,195.0,3300.0,female,2007,3.3,835.93,59.09,Küçük,0,0,1,0
Chinstrap,Dream,52.0,19.0,197.0,4150.0,male,2007,4.15,988.0,47.47,Orta,1,0,1,0
Chinstrap,Dream,50.5,18.4,200.0,3400.0,female,2008,3.4,929.2,58.82,Küçük,0,0,1,0
Chinstrap,Dream,49.5,19.0,200.0,3800.0,male,2008,3.8,940.5,52.63,Orta,1,0,1,0
Chinstrap,Dream,46.4,17.8,191.0,3700.0,female,2008,3.7,825.92,51.62,Küçük,0,0,1,0
Chinstrap,Dream,52.8,20.0,205.0,4550.0,male,2008,4.55,1056.0,45.05,Orta,1,0,1,0
Chinstrap,Dream,40.9,16.6,187.0,3200.0,female,2008,3.2,678.94,58.44,Küçük,0,0,1,0
Chinstrap,Dream,54.2,20.8,201.0,4300.0,male,2008,4.3,1127.36,46.74,Orta,1,0,1,0
Chinstrap,Dream,42.5,16.7,187.0,3350.0,female,2008,3.35,709.75,55.82,Küçük,0,0,1,0
Chinstrap,Dream,51.0,18.8,203.0,4100.0,male,2008,4.1,958.8,49.51,Orta,1,0,1,0
Chinstrap,Dream,49.7,18.6,195.0,3600.0,male,2008,3.6,924.42,54.17,Küçük,1,0,1,0
Chinstrap,Dream,47.5,16.8,199.0,3900.0,female,2008,3.9,798.0,51.03,Orta,0,0,1,0
Chinstrap,Dream,47.6,18.3,195.0,3850.0,female,2008,3.85,871.08,50.65,Orta,0,0,1,0
Chinstrap,Dream,52.0,20.7,210.0,4800.0,male,2008,4.8,1076.4,43.75,Büyük,1,0,1,0
Chinstrap,Dream,46.9,16.6,192.0,2700.0,female,2008,2.7,778.54,71.11,Küçük,0,0,1,0
Chinstrap,Dream,53.5,19.9,205.0,4500.0,male,2008,4.5,1064.65,45.56,Orta,1,0,1,0
Chinstrap,Dream,49.0,19.5,210.0,3950.0,male,2008,3.95,955.5,53.16,Orta,1,0,1,0
Chinstrap,Dream,46.2,17.5,187.0,3650.0,female,2008,3.65,808.5,51.23,Küçük,0,0,1,0
Chinstrap,Dream,50.9,19.1,196.0,3550.0,male,2008,3.55,972.19,55.21,Küçük,1,0,1,0
Chinstrap,Dream,45.5,17.0,196.0,3500.0,female,2008,3.5,773.5,56.0,Küçük,0,0,1,0
Chinstrap,Dream,50.9,17.9,196.0,3675.0,female,2009,3.675,911.11,53.33,Küçük,0,0,1,0
Chinstrap,Dream,50.8,18.5,201.0,4450.0,male,2009,4.45,939.8,45.17,Orta,1,0,1,0
Chinstrap,Dream,50.1,17.9,190.0,3400.0,female,2009,3.4,896.79,55.88,Küçük,0,0,1,0
Chinstrap,Dream,49.0,19.6,212.0,4300.0,male,2009,4.3,960.4,49.3,Orta,1,0,1,0
Chinstrap,Dream,51.5,18.7,187.0,3250.0,male,2009,3.25,963.05,57.54,Küçük,1,0,1,0
Chinstrap,Dream,49.8,17.3,198.0,3675.0,female,2009,3.675,861.54,53.88,Küçük,0,0,1,0
Chinstrap,Dream,48.1,16.4,199.0,3325.0,female,2009,3.325,788.84,59.85,Küçük,0,0,1,0
Chinstrap,Dream,51.4,19.0,201.0,3950.0,male,2009,3.95,976.6,50.89,Orta,1,0,1,0
Chinstrap,Dream,45.7,17.3,193.0,3600.0,female,2009,3.6,790.61,53.61,Küçük,0,0,1,0
Chinstrap,Dream,50.7,19.7,203.0,4050.0,male,2009,4.05,998.79,50.12,Orta,1,0,1,0
Chinstrap,Dream,42.5,17.3,187.0,3350.0,female,2009,3.35,735.25,55.82,Küçük,0,0,1,0
Chinstrap,Dream,52.2,18.8,197.0,3450.0,male,2009,3.45,981.36,57.1,Küçük,1,0,1,0
Chinstrap,Dream,45.2,16.6,191.0,3250.0,female,2009,3.25,750.32,58.77,Küçük,0,0,1,0
Chinstrap,Dream,49.3,19.9,203.0,4050.0,male,2009,4.05,981.07,50.12,Orta,1,0,1,0
Chinstrap,Dream,50.2,18.8,202.0,3800.0,male,2009,3.8,943.76,53.16,Orta,1,0,1,0
Chinstrap,Dream,45.6,19.4,194.0,3525.0,female,2009,3.525,884.64,55.04,Küçük,0,0,1,0
Chinstrap,Dream,51.9,19.5,206.0,3950.0,male,2009,3.95,1012.05,52.15,Orta,1,0,1,0
Chinstrap,Dream,46.8,16.5,189.0,3650.0,female,2009,3.65,772.2,51.78,Küçük,0,0,1,0
Chinstrap,Dream,45.7,17.0,195.0,3650.0,female,2009,3.65,776.9,53.42,Küçük,0,0,1,0
Chinstrap,Dream,55.8,19.8,207.0,4000.0,male,2009,4.0,1104.84,51.75,Orta,1,0,1,0
Chinstrap,Dream,43.5,18.1,202.0,3400.0,female,2009,3.4,787.35,59.41,Küçük,0,0,1,0
Chinstrap,Dream,49.6,18.2,193.0,3775.0,male,2009,3.775,902.72,51.13,Orta,1,0,1,0
Chinstrap,Dream,50.8,19.0,210.0,4100.0,male,2009,4.1,965.2,51.22,Orta,1,0,1,0
Chinstrap,Dream,50.2,18.7,198.0,3775.0,female,2009,3.775,938.74,52.45,Orta,0,0,1,0
